nx,ny,nz,dt,tsr,cp,cd
48.0,48.0,32.0,0.0475,0.3999999999999996,0.03541548038867729,0.4819335452507302
48.0,48.0,32.0,0.0211111111111,0.9000000000000022,0.08953085730095098,0.5948530588071904
48.0,48.0,32.0,0.0135714285714,1.3999999999999997,0.18942378923646064,0.7856489541502716
48.0,48.0,32.0,0.01,1.8999999999999893,0.2582456869177076,1.0249162506892953
48.0,48.0,32.0,0.00791666666667,2.399999999999985,0.2494258951910134,1.1885845208351256
48.0,48.0,32.0,0.00655172413793,2.900000000000009,0.20797496691748446,1.34072526282505
