nx,ny,nz,dt,tsr,cp,cd
12.0,12.0,8.0,0.005,1.8999999999999952,0.425143705256752,1.2964779055153448
18.0,18.0,12.0,0.005,1.8999999999999952,0.3447240454584763,1.175658896586472
24.0,24.0,16.0,0.005,1.8999999999999952,0.30400830688535546,1.1055550742967095
30.0,30.0,20.0,0.005,1.8999999999999952,0.2814108719118757,1.0662263253135311
36.0,36.0,24.0,0.005,1.8999999999999952,0.2669737846811521,1.0414671520716037
42.0,42.0,28.0,0.005,1.8999999999999952,0.2574369190097035,1.0253957819829955
48.0,48.0,32.0,0.005,1.8999999999999952,0.2507675470833153,1.0143612324485098
54.0,54.0,36.0,0.005,1.8999999999999952,0.2457329965508835,1.006073480504042
60.0,60.0,40.0,0.005,1.8999999999999952,0.2417431135171808,0.9994288544098532
66.0,66.0,44.0,0.005,1.8999999999999952,0.2382123431288365,0.9933527075102998
72.0,72.0,48.0,0.005,1.8999999999999952,0.23493689072444154,0.9878218684639288
